jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|category:n,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=category,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=category, 
1035,  5135,  completed,  eof,  2014-07-21 07:24:19,  2014-07-21 07:24:21,  2,  modelParams|sensorParams|encoders|category:n_268.modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  10,  268,  None,  0.0498001425553,  10,  14,  None,  3,  None,  None,  299,  0.0421624113773,  0.596311111111,  107.336, 
1035,  5146,  completed,  eof,  2014-07-21 07:24:19,  2014-07-21 07:24:21,  2,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_321.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  10,  None,  None,  0.0498001425553,  10,  14,  None,  3,  None,  321,  299,  0.0421624113773,  0.511877777778,  92.138, 
1035,  5167,  completed,  eof,  2014-07-21 07:24:20,  2014-07-21 07:24:20,  0,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.51489860972.modelParams|sensorParams|encoders|_classifierInput|n_250.modelParams|spParams|synPermInactiveDec_0.0421624113773,  10,  None,  None,  0.0498001425553,  10,  14,  None,  3,  3.51489860972,  None,  250,  0.0421624113773,  0.680744444444,  122.534, 
1035,  5178,  completed,  eof,  2014-07-21 07:24:20,  2014-07-21 07:24:21,  1,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.12876236851.modelParams|clParams|alpha_0.0578101247259.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  10,  None,  5.12876236851,  0.0578101247259,  10,  14,  None,  3,  None,  None,  299,  0.0421624113773,  0.511877777778,  92.138, 
1035,  5179,  completed,  eof,  2014-07-21 07:24:20,  2014-07-21 07:24:21,  1,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0572924571095.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_313.modelParams|spParams|synPermInactiveDec_0.0404445636177,  10,  None,  None,  0.0572924571095,  10,  14,  1,  3,  None,  None,  313,  0.0404445636177,  0.680744444444,  122.534, 
1035,  5180,  completed,  eof,  2014-07-21 07:24:21,  2014-07-21 07:24:23,  2,  modelParams|clParams|alpha_0.0509293848252.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_277.modelParams|sensorParams|encoders|_classifierInput|n_276.modelParams|spParams|synPermInactiveDec_0.0509865395436,  10,  None,  None,  0.0509293848252,  11,  14,  None,  3,  None,  277,  276,  0.0509865395436,  0.511877777778,  92.138, 
1035,  5181,  completed,  eof,  2014-07-21 07:24:21,  2014-07-21 07:24:22,  1,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0507367485497.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_279.modelParams|spParams|synPermInactiveDec_0.0510914176653,  10,  None,  None,  0.0507367485497,  11,  14,  1,  3,  None,  None,  279,  0.0510914176653,  0.680744444444,  122.534, 
1035,  5182,  completed,  eof,  2014-07-21 07:24:21,  2014-07-21 07:24:23,  2,  modelParams|clParams|alpha_0.0561640368683.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|kw_energy_consumption:n_303.modelParams|sensorParams|encoders|_classifierInput|n_343.modelParams|spParams|synPermInactiveDec_0.0380654399017,  10,  None,  None,  0.0561640368683,  11,  14,  None,  4,  None,  303,  343,  0.0380654399017,  0.511877777778,  92.138, 
1035,  5183,  completed,  eof,  2014-07-21 07:24:21,  2014-07-21 07:24:25,  4,  modelParams|sensorParams|encoders|category:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  10,  272,  None,  0.05005,  11,  14,  None,  3,  None,  272,  275,  0.05015,  0.511877777778,  92.138, 
1035,  5184,  completed,  eof,  2014-07-21 07:24:22,  2014-07-21 07:24:24,  2,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.825.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  10,  None,  6.825,  0.05005,  11,  14,  None,  3,  None,  272,  275,  0.05015,  0.511877777778,  92.138, 
